0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-0.3214171927,-0.3502323964,-0.4926291804,-0.2784064826,-0.3272763977,-0.3183242459,-0.2955733701,-0.2900252667,-0.2835129448,2.8508393929,-0.372636658,-0.2215778725,-0.2963558625,-0.2662714991,-0.3195824457,-0.2843906349,-0.2901216849,-0.2731448014,-0.2995043155,-0.294706393,-0.1643141555,-0.2844130289,-0.2926646133,4.8654507484,-0.2918968935,-0.2420047628,-0.3002765627,-0.2650304797
-0.266793986,-0.3458890742,-0.5085547852,-0.3198365582,-0.2284000666,-0.3847725578,-0.3140646679,-0.3199621542,-0.2906861509,2.9691180446,-0.3927499687,-0.2634962865,-0.3315879193,-0.3044270502,-0.2863428941,-0.3397149679,-0.2916138924,-0.3106972791,-0.3059180827,-0.2962897313,-0.3037407915,-0.2982554886,-0.2896900624,5.3956266348,-0.3120134854,-0.316219235,-0.3126942481,-0.4303332952
-0.328625255,-0.3428231142,-0.527717896,-0.3324414487,-0.3603394702,-0.4379440204,-0.2197571586,-0.3566135647,-0.312373412,3.0232885546,-0.4212840654,-0.2812254438,-0.3304724964,-0.2899184458,-0.3080995669,-0.3688978426,-0.3328763407,-0.3132856896,-0.2912067208,-0.3176736643,-0.3133377552,-0.323206134,-0.2945649563,5.7166851973,-0.3209715241,-0.380506273,-0.3290149603,-0.3047965327
-0.3169401077,-0.3420133521,-0.4999688706,-0.3393698745,-0.1990007649,-0.4783682873,-0.2388184064,-0.3849588929,-0.338461374,3.1804678158,-0.3919881633,-0.2692570897,-0.3449726135,-0.3651882414,-0.3444323051,-0.3977342178,-0.32261199,-0.3371703655,-0.276683359,-0.3224907023,-0.442843728,-0.2894400449,-0.3983104745,5.8475030028,-0.3251362566,-0.2801239749,-0.3403043059,-0.4413830557
-0.2145845668,-0.3554365888,-0.5282672312,-0.3514311236,-0.3199419011,-0.3766614797,-0.3939522079,-0.3422222473,-0.3306910283,3.3212184725,-0.4129500936,-0.261461288,-0.3247876859,-0.3222736934,-0.3464295427,-0.2991841311,-0.3143730482,-0.3220957125,-0.3923158881,-0.3369821094,-0.3450743546,-0.3136229537,-0.3682237169,5.7027445755,-0.3338602449,-0.3990573788,-0.3237234492,-0.3943593825
-0.3166892507,-0.3127967134,-0.5155974769,-0.3213871801,-0.2720210192,-0.2613861568,-0.314351718,-0.3297796465,-0.3708478274,3.5006661751,-0.3613187385,-0.3492337565,-0.3203401333,-0.362561562,-0.3345914925,-0.3502667461,-0.3797714598,-0.3191908476,-0.3981600841,-0.3439974663,-0.3133913596,-0.3014150163,-0.3874803596,5.2478160229,-0.3289680329,-0.2670233111,-0.3377863227,-0.2781285203
-0.1972944882,-0.2736846947,-0.4769512299,-0.3030505262,-0.4186882532,-0.4608828,-0.3006373143,-0.2655595378,-0.3135240157,3.802412523,-0.263314857,-0.3938846899,-0.2993360429,-0.311374984,-0.323453296,-0.3203637474,-0.321118867,-0.3191879567,-0.2765603533,-0.3116378001,-0.281851578,-0.2513530674,-0.3580539301,4.5290600224,-0.3150000053,-0.3086831675,-0.2782603744,-0.3877649686
-0.2192915113,-0.3347822711,-0.4894914096,-0.2970376378,-0.3037027865,-0.3252507024,-0.2627222701,-0.2950253513,-0.2544643948,4.0831675898,-0.3227877592,-0.2742014773,-0.2860135741,-0.2873986803,-0.2807266126,-0.3253052013,-0.2923856674,-0.2944230117,-0.316882432,-0.2944648713,-0.2676367589,-0.3105104396,-0.3223002585,3.6228358889,-0.2703353551,-0.2511278498,-0.2981942801,-0.2295409145
-0.1854763479,-0.2810980246,-0.4578224927,-0.2539657797,-0.2750504685,-0.2452873549,-0.2508952282,-0.2431771281,-0.2516227405,4.4087947087,-0.2604719894,-0.2547102043,-0.2365646838,-0.2431398226,-0.2398031363,-0.1884142809,-0.2607529014,-0.2553974927,-0.2408509197,-0.2605761236,-0.2235949579,-0.2530417565,-0.2732529663,2.5370136146,-0.2798987711,-0.4122758533,-0.2599348631,-0.3587320355
-0.1593058637,-0.2944165395,-0.4271615619,-0.2797596542,-0.2264772902,-0.3501160559,-0.2545054023,-0.2335993385,-0.2122464844,4.7918879011,-0.243457843,-0.2367410546,-0.2394964703,-0.2766727365,-0.21074383,-0.2091274197,-0.2298308235,-0.2012049513,-0.2121172221,-0.2363187848,-0.2152659797,-0.1901203999,-0.2046476068,1.4514473342,-0.2442429923,-0.2371814714,-0.2196335953,-0.1989438631
